"Table Rate Shipping","配送料金の設定"
"Manage Shipping","地域別配送料金の設定"
"Table Rate Shipping Superset","配送料金上位表"
"Upload Shipping Detail","配送設定のアップロード"
"Download sample file","サンプルファイルの表示"
"Shipping Rate List","配送料金リスト"
"Add Shipping Method","配送方法の追加"
"Zip code","郵便番号"
"Save Shipping","保存"
"Upload Shipping Detail","配送方法をCSVでアップロードする"
"Name","名称"
"Weight from","重量最小"
"Weight to","重量最大"
"Zip from","郵便番号最小"
"Zip to","郵便番号最大"
"Table Rate Shipping Superset","購入金額別配送料金の設定"
"Shipping Superset Information","購入金額に応じて配送料金を定義する"
"Price From","最低価格"
"Price To","最高価格"
"Super set Type","配送料金タイプ"
"Shipping Superset List","購入金額別配送方法一覧"
"Shipping Type","配送料金タイプ"
"Delete Shipping Superset","配送方法の削除"
"From: ","~から:"
"To: ","~まで:"
"Add shipping record","配送方法の追加"
"Name: ","配送方法"
"i.e. Standard delivery or Special delivery","配送方法名称を入力して下さい"
"(Enter specific zip or * for all)","(この配送方法を適応する郵便番号の最小値を入力して下さい)"
"(Please enter the maximum value of the postal code to apply for this shipping method)","(この配送方法を適応する郵便番号の最大値を入力して下さい)"
"(Enter shipping price)","(配送料金を入力して下さい)"
"Edit record","配送方法の編集"
"Manage Shipping Superset","購入金額別配送料金の設定"
"Free","無料"
"Search by method name","配送方法名称で検索する"
"Edit shipping set record","購入金額別配送方法の編集"
"Table Rate Shipping by Region","地域別配送料金の設定"
"Seller Of Product(s) %1 do not provide shipping service at your location.","%1 は配送方法が設定されていません。購入できない場合は販売店にお問合せください。"
"%1 Row(s) shipping detail has been successfully saved","%1 件の配送設定を保存しました。"
"%1 Row(s) shipping rule already exist for the given range.","%1 件の配送設定の郵便番号が重複しています。"
"Zip field from should be a numeric or * value","zip_from フィールドは数字で入力して下さい。"
"Zip to field from should be a numeric or * value","zip_to フィールドは数字で入力して下さい。"
"Not a valid value for price","price フィールドは数字で入力して下さい。"
"Zip field can not be empty","zip_from フィールドが空です。"
"Zip to field can not be empty","zip_to フィールドが空です。"
"Price can not be empty","price フィールドが空です。"
"Shipping Method can not be empty","shipping_method フィールドが空です。"
"This file Csv is empty please try another one","CSVファイルが空です。"
"Please write the correct header formation of CSV file!","CSVファイルのヘッダーが正しくありません。"
"CSV file is not a valid file!","登録する項目が足りません。"
"Please upload Csv file","CSV形式のファイルをアップロードして下さい"
