"Save Shipping","Save Shipping"
"Edit Rule","Edit Rule"
"New Rule","New Rule"
"Shipping Set Information","Shipping Set Information"
"Price From","Price From"
"Price To","Price To"
"Distance From","Distance From"
"Distance To","Distance To"
"Method Name","Method Name"
Seller,Seller
Price,Price
"Shipping Price","Shipping Price"
"Shipping Set Info","Shipping Set Info"
"Add Shipping","Add Shipping"
"CSV File","CSV File"
"Upload CSV","Upload CSV"
"Shipping Data","Shipping Data"
ID,ID
Name,Name
"Destination Country","Destination Country"
"Destination Region","Destination Region"
"Zip Code From","Zip Code From"
"Zip Code To","Zip Code To"
"Weight From","Weight From"
"Weight To","Weight To"
"Numeric Zipcode","Numeric Zipcode"
"Alphanumeric Zipcode","Alphanumeric Zipcode"
"Sub Method Name","Sub Method Name"
Delete,Delete
"Are you sure?","Are you sure?"
"Shipping Information","Shipping Information"
"Shipping Detail","Shipping Detail"
Admin,Admin
"Edit Shipping Rule","Edit Shipping Rule"
"New Shipping Rule","New Shipping Rule"
"Shipping Rule Information","Shipping Rule Information"
"Country code","Country code"
"Region code","Region code"
"Weight from","Weight from"
"Zip From","Zip From"
"Zip To","Zip To"
"Shipping Rule Info","Shipping Rule Info"
"Edit Shipping Set","Edit Shipping Set"
"New Shipping Set","New Shipping Set"
"Shipping Type","Shipping Type"
"This Shiiping Rule is no longer exists.","This Shiiping Rule is no longer exists."
"Shipping By Distance","Shipping By Distance"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Price From can't be equal or more than Price To.","Price From can't be equal or more than Price To."
"Distance From can't be equal or more than Distance To.","Distance From can't be equal or more than Distance To."
"Price or Distance range already exist.","Price or Distance range already exist."
"Shipping Rule Saved Successfully","Shipping Rule Saved Successfully"
"Shipping Rule Successfully Updated","Shipping Rule Successfully Updated"
"This Shipping rule is no longer exists.","This Shipping rule is no longer exists."
"Shipping Rule","Shipping Rule"
"Marketplace Table Rate Shipping Manager","Marketplace Table Rate Shipping Manager"
"Please select item(s).","Please select item(s)."
"Please upload CSV file","Please upload CSV file"
"Country code should be a string %1","Country code should be a string %1"
"Country code can not be empty","Country code can not be empty"
"Region Id can not be empty","Region Id can not be empty"
"Zip field can not be empty","Zip field can not be empty"
"Zip field from should be a numeric or * value %1","Zip field from should be a numeric or * value %1"
"Price can not be empty","Price can not be empty"
"Not a valid value for price %1","Not a valid value for price %1"
"Seller Id can not be empty","Seller Id can not be empty"
"Numeric Zipcode value can not be empty","Numeric Zipcode value can not be empty"
"Alphanumeric Zipcode can not be empty","Alphanumeric Zipcode can not be empty"
"Shipping Method should be a string %1","Shipping Method should be a string %1"
"Shipping Method can not be empty","Shipping Method can not be empty"
"Zip to field can not be empty","Zip to field can not be empty"
"Zip to field from should be a numeric or * value %1","Zip to field from should be a numeric or * value %1"
"Zip To field should be greater then Zip From field","Zip To field should be greater then Zip From field"
"Weight To can not be empty","Weight To can not be empty"
"Not a valid value for weight to field %1","Not a valid value for weight to field %1"
"Weight to should be greater then weight from field","Weight to should be greater then weight from field"
"Weight From can not be empty","Weight From can not be empty"
"Not a valid value for weight from field %1","Not a valid value for weight from field %1"
"Following rows are not valid rows : %1","Following rows are not valid rows : %1"
"%1 Row(s) shipping detail has been successfully saved","%1 Row(s) shipping detail has been successfully saved"
"%1 Row(s) shipping rule already exist for the given range.","%1 Row(s) shipping rule already exist for the given range."
"CSV file is not a valid file!","CSV file is not a valid file!"
"Please write the correct header formation of CSV file!","Please write the correct header formation of CSV file!"
"Shipping rule already exist for the given range for seller.","Shipping rule already exist for the given range for seller."
"Your shipping detail has been successfully updated.","Your shipping detail has been successfully updated."
"No record Found!","No record Found!"
"This Shiiping Set no longer exists.","This Shiiping Set no longer exists."
"Marketplace Super shipping set","Marketplace Super shipping set"
"Marketplace Super Shipping Set Manager","Marketplace Super Shipping Set Manager"
"Price range already exist.","Price range already exist."
"Shipping Set Details Saved Successfully","Shipping Set Details Saved Successfully"
"Shipping Set Details Successfully Updated","Shipping Set Details Successfully Updated"
"Shipping Rule is successfully Deleted!","Shipping Rule is successfully Deleted!"
"Please try again!","Please try again!"
"Shipping Rule(s) are successfully deleted from your account.","Shipping Rule(s) are successfully deleted from your account."
"Shipping set updated successfully","Shipping set updated successfully"
"Shipping By Distnace","Shipping By Distnace"
"Set Location","Set Location"
"Seller location was successfully saved","Seller location was successfully saved"
"Shipping rule already exist for the given range.","Shipping rule already exist for the given range."
"Your shipping detail has been successfully saved","Your shipping detail has been successfully saved"
"Shipping detail is successfully Deleted!","Shipping detail is successfully Deleted!"
"Shipping Method is successfully Deleted!","Shipping Method is successfully Deleted!"
"Please upload Csv file","Please upload Csv file"
"Zip field can not be empty %1","Zip field can not be empty %1"
"Price can not be empty %1","Price can not be empty %1"
"Zip to field can not be empty %1","Zip to field can not be empty %1"
"Weight To can not be empty %1","Weight To can not be empty %1"
"Weight From can not be empty %1","Weight From can not be empty %1"
"Table Rate Shipping","Table Rate Shipping"
"Shipping Set detail is successfully Deleted!","Shipping Set detail is successfully Deleted!"
"Shipping sets are successfully deleted from your account.","Shipping sets are successfully deleted from your account."
"Table Rate Shipping Superset","Table Rate Shipping Superset"
"Seller Of Product(s) %1 do not provide shipping service at your location.","Seller Of Product(s) %1 do not provide shipping service at your location."
"You can not buy these products together with this shipping method, you can buy separately!","You can not buy these products together with this shipping method, you can buy separately!"
"Show Error message","Show Error message"
"Apply Admin Rates","Apply Admin Rates"
KM,KM
Miles,Miles
Yes,Yes
No,No
Edit,Edit
"Please Select Seller","Please Select Seller"
Actions,Actions
"Mass Actions","Mass Actions"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"* Required Fields","* Required Fields"
Location,Location
Latitude,Latitude
Longitude,Longitude
SAVE,SAVE
Save,Save
"Shipping Method","Shipping Method"
"Distance Range Shipping List","Distance Range Shipping List"
Distance,Distance
"Search by method name","Search by method name"
"From: ","From: "
"To: ","To: "
Submit,Submit
"Delete Shipping Rule","Delete Shipping Rule"
Action,Action
"No Shipping Available","No Shipping Available"
Update,Update
Menu,Menu
"Manage Shipping","Manage Shipping"
"Manage Shipping Superset","Manage Shipping Superset"
"i.e. Standard delivery or Special delivery","i.e. Standard delivery or Special delivery"
"This enables you to assign as shipping type/service, i.e Standard or Next Day Delivery","This enables you to assign as shipping type/service, i.e Standard or Next Day Delivery"
"Upload Shipping Detail","Upload Shipping Detail"
"Download sample file","Download sample file"
"Add shipping record","Add shipping record"
"Shipping Type:","Shipping Type:"
"Add Shipping Type","Add Shipping Type"
"Name: ","Name: "
"(Enter region code or enter * for all)","(Enter region code or enter * for all)"
"(Enter min weight to calculate shipping)","(Enter min weight to calculate shipping)"
"Weight to","Weight to"
"(Enter max weight to calculate shipping)","(Enter max weight to calculate shipping)"
"Zip from","Zip from"
"(Enter specific zip or * for all)","(Enter specific zip or * for all)"
"Zip to","Zip to"
"(Enter shipping price)","(Enter shipping price)"
"(Enter Alphanumeric zipcode)","(Enter Alphanumeric zipcode)"
"Shipping Rate List","Shipping Rate List"
"+ Add Shipping Method","+ Add Shipping Method"
Weight,Weight
"Zip code","Zip code"
"No Record Found!","No Record Found!"
SUGGESTIONS,SUGGESTIONS
"Shipping Superset Information","Shipping Superset Information"
